Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
34	Chlorproguanil-Dapsone-Artesunate Versus COARTEM For Uncomplicated Malaria	Completed	No Results Available	Malaria, Falciparum	Drug: chlorproguanil-dapsone-artesunate|Drug: artemether-lumefantrine	GSK Investigational Site, Bobo-Dioulasso, Burkina Faso|GSK Investigational Site, Kintampo, Ghana|GSK Investigational Site, Eldoret, Kenya|GSK Investigational Site, Kilifi, Kenya|GSK Investigational Site, Barkin Ladi, Nigeria|GSK Investigational Site, Calabar, Nigeria|GSK Investigational Site, Enugu, Nigeria|GSK Investigational Site, Ibadan, Nigeria|GSK Investigational Site, Ifakara, Tanzania	https://ClinicalTrials.gov/show/NCT00344006
35	Efficacy, Safety, and Tolerability of Dihydroartemisinin-piperaquine + Mefloquine Compared to Dihydroartemisinin-piperaquine or Artesunate-mefloquine in Patients With Uncomplicated Falciparum Malaria in Cambodia	Completed	No Results Available	Acute Falciparum Malaria	Drug: Dihydroartemisinin-piperaquine (DHA-PPQ)|Drug: Mefloquine (MQ)	National Center for Parasitology, Entomology, and Malaria Controk, Ministry of H, Phnom Penh, Cambodia	https://ClinicalTrials.gov/show/NCT02612545
36	A Phase I/IIa Study of the Safety, Immunogenicity and Efficacy of FMP2.1/AS01B, an Asexual Blood-Stage Vaccine for Plasmodium Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: FMP2.1/AS01B	NIHR Wellcome Trust Clinical Research Facility, University Hospital Southampton, Southampton, Hampshire, United Kingdom|Centre for Clinical Vaccinology and Tropical Medicine, University of Oxford, Oxford, Oxfordshire, United Kingdom|NIHR Wellcome Trust Clinical Research Facility (NIHR WTCRF), Hammersmith Hospital, London, United Kingdom	https://ClinicalTrials.gov/show/NCT02044198
37	Azithromycin Plus Chloroquine Versus Mefloquine for the Treatment of Uncomplicated Malaria in Africa	Completed	No Results Available	Malaria, Falciparum	Drug: Azithromycin/Chloroquine|Drug: Mefloquine	Pfizer Investigational Site, Navrongo, Ghana|Pfizer Investigational Site, Bamako, Mali|Pfizer Investigational Site, Jinja, Uganda|Pfizer Investigational Site, Kampala, Uganda|Pfizer Investigational Site, Ndola, Zambia|Pfizer Investigational Site	https://ClinicalTrials.gov/show/NCT00082576
38	Fetal Immunity to Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria		KEMRI Centre for Geographic Medicine Research, Nairobi, Kenya	https://ClinicalTrials.gov/show/NCT00314899
39	Phase II Dose-ranging Study of Pyronaridine/Artesunate in Adults Patients With Plasmodium Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: pyronaridine/artesunate	Pailin General Hospital, Pailin, Cambodia|Farafenni Field Station, c/o MRC Laboratories, Faraffeni, Gambia|Bethesday Hospital, Tomohon, North Sulawesi, Indonesia|Centre de santé du roi Baudoin, Guediawaye, Senegal|Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand|MSF Epicentre, Mbarara, Uganda	https://ClinicalTrials.gov/show/NCT01594931
40	Azithromycin Combination Therapy for the Treatment of Uncomplicated Falciparum Malaria in Bangladesh	Completed	No Results Available	Uncomplicated Falciparum Malaria	Drug: azithromycin plus artesunate|Drug: Artesunate	Sadar Hospital, Bandarban, Bangladesh	https://ClinicalTrials.gov/show/NCT00356005
41	Multi-Centre Trial Comparing Three Artemisinin-Based Combination Treatments on P. Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Co-Arinate FDC|Drug: Coartem	Cameroon Baptist Convention Clinic of Biyem-Assi, Yaounde, Cameroon|Health centres of Samako, Kolle and Bancoumane, Bamako, Mali|Health centres Rwamagana and Muhima, Kigali, Rwanda|Alhara Alola Health centre, New Halfa, Sudan	https://ClinicalTrials.gov/show/NCT00484900
42	EP1300 Polyepitope DNA Vaccine Against Plasmodium Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Placebo|Biological: EP-1300	Emory Children's Center - Pediatric Infectious Diseases, Atlanta, Georgia, United States	https://ClinicalTrials.gov/show/NCT01169077
43	SP Resistance and Falciparum Malaria Transmission	Withdrawn	No Results Available	Plasmodium Falciparum Malaria	Drug: sulfadoxine/pyrimethamine	Malaria Vaccine and Drug Development Center, Cali, Colombia|Universidad del Valle Sede San Fernando, Cali, Colombia	https://ClinicalTrials.gov/show/NCT00299247
44	A Three Day Trial of Azithromycin Plus Chloroquine for the Treatment of Uncomplicated Plasmodium Falciparum Malaria	Completed	Has Results	Falciparum Malaria	Drug: Azithromycin plus chloroquine	Pfizer Investigational Site, San Andres de Tumaco, Narino, Colombia|Pfizer Investigational Site, Bambolim, Goa, India	https://ClinicalTrials.gov/show/NCT00282919
45	Pyronaridine-artesunate With Low Dose Primaquine for Preventing P. Falciparum Transmission	Completed	No Results Available	Malaria,Falciparum	Drug: Pyronaridine Tetraphosphate/Artesunate|Drug: Dihydroartemisinin/Piperaquine|Drug: Primaquine Diphosphate	Malaria Research and Training Centre, Bamako, Mali|Radboud university medical center, Nijmegen, Netherlands	https://ClinicalTrials.gov/show/NCT04049916
46	Evaluation of Volume Status, Haemodynamics and Microcirculatory Flow in Adult Patients With Severe Falciparum Malaria	Completed	No Results Available	Severe Falciparum Malaria		Chittagong Medical College Hospital, Chittagong, Bangladesh	https://ClinicalTrials.gov/show/NCT00692627
47	Therapeutic Efficacy Study of Pyrimethamine/Sulfdoxine (Fansidar®) for the Treatment of Uncomplicated Falciparum Malaria in the Peruvian Amazon	Completed	No Results Available	Malaria, Vivax|Malaria, Falciparum	Drug: Pyrimethamine/sulfdoxine (Fansidar)	Naval Medical Research Center Detachment, Lima, Peru	https://ClinicalTrials.gov/show/NCT00951106
48	Efficacy and Safety of KAF156 in Combination With LUM-SDF in Adults and Children With Uncomplicated Plasmodium Falciparum Malaria	Recruiting	No Results Available	Acute Uncomplicated Plasmodium Falciparum Malaria	Drug: KAF156 and LUM-SDF|Drug: Coartem	Novartis Investigative Site, Nanoro, Burkina Faso|Novartis Investigative Site, Lambarene, Gabon|Novartis Investigative Site, Banjul, Gambia|Novartis Investigative Site, Kombewa, Kenya|Novartis Investigative Site, Siaya, Kenya|Novartis Investigative Site, Sotuba, Mali|Novartis Investigative Site, Chokwe, Mozambique|Novartis Investigative Site, Ratchabari, Thailand|Novartis Investigative Site, Tak, Thailand|Novartis Investigative Site, Masaka, Uganda|Novartis Investigative Site, Tororo, Uganda|Novartis Investigative Site, Binh Phuoc Province, VNM, Vietnam|Novartis Investigative Site, Ho Chi Minh, Vietnam	https://ClinicalTrials.gov/show/NCT03167242
49	Safety and Immunogenicity of ChAd63 RH5 and MVA RH5 in Adults, Young Children and Infants Living in Tanzania	Completed	No Results Available	Malaria,Falciparum	Biological: ChAd63 RH5|Biological: MVA RH5|Biological: Rabies Vaccine	Ifakara Health Institute Clinical Trial Facility, Bagamoyo, Tanzania	https://ClinicalTrials.gov/show/NCT03435874
50	ICC-1132 - Candidate Vaccine Against P Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Biological: Malaria ICC-1132|Biological: Alhydrogel	University of Maryland Baltimore, Baltimore, Maryland, United States	https://ClinicalTrials.gov/show/NCT00587249
51	"Prolonging the Therapeutic Life Span of Artemisinin-based Combination Therapies (ACT) in Bagamoyo District, Tanzania"	Completed	No Results Available	Malaria,Falciparum	Drug: Artemether-Lumefantrine Tab 20-120mg|Drug: Primaquine Phosphate 0.25 mg/kg|Other: Placebo	Fukayosi Dispensary, Bagamoyo, Pwani, Tanzania|Yombo Dispensary, Bagamoyo, Yombo, Tanzania	https://ClinicalTrials.gov/show/NCT03241901
52	Evaluation of Safety and Efficacy of Artemether-Lumefantrine Tablets in African Infants and Children With Uncomplicated P. Falciparum Malaria	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Artemether-lumefantrine	Kemri-Wellcome Trust Programme, Kilifi, Kenya|University College Hospital Malaria Research Laboratories Institute for Advance Medical Research and Training, Ibadan, Nigeria|Muhimbili University College of Health Sciences Department of Parasitology and Medical Entomology, Box 65011, Dar es Salaam, Tanzania	https://ClinicalTrials.gov/show/NCT00709969
53	Safety Study on the Effect of Eurartesim™ on QT/QTc Interval Compared to Riamet in Healthy Volunteers	Completed	No Results Available	Malaria, Falciparum	Drug: Eurartesim™|Drug: Riamet®|Other: Placebo and finally Moxifloxacin	SGS aster s.a.s, Paris, France	https://ClinicalTrials.gov/show/NCT01103830
54	Safety, Tolerability, Pharmacokinetics and Efficacy of ARCO	Completed	No Results Available	Plasmodium Falciparum|Malaria, Falciparum	Drug: artemisinin/naphthoquine|Drug: dihydroartemisinin/piperaquine phosphate	Ifakara Health Institute, Bagamoyo, Tanzania	https://ClinicalTrials.gov/show/NCT01930331
55	Assessment of Artesunate/Mefloquine in the Peruvian Amazon	Unknown status	No Results Available	Malaria, Falciparum	Drug: Artesunate|Drug: Mefloquine	NAMRU 6, Iquitos, Loreto, Peru	https://ClinicalTrials.gov/show/NCT02084602
56	Artemether/ Lumefantrine: A Study of the Effect of Local Food on Pharmacokinetics and Population Pharmacokinetics	Unknown status	No Results Available	Malaria, Falciparum	Dietary Supplement: Food	Department of Pharmacology & Therapeutics, MakCHS, Mulago Hospital Complex, Kampala, Uganda	https://ClinicalTrials.gov/show/NCT01944189
57	Evaluation of Fosmidomycin and Piperaquine in the Treatment of Acute Falciparum Malaria	Unknown status	No Results Available	Oral Treatment of Acute Uncomplicated Plasmodium Falciparum Malaria	Drug: Fosmidomycin-Piperaquine		https://ClinicalTrials.gov/show/NCT02198807
58	Pharmacokinetic of Mefloquine-Artesunate in Plasmodium Falciparum Malaria Infection in Pregnancy	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Mefloquine-artesunate	Centre Muraz, Nanoro, Burkina Faso	https://ClinicalTrials.gov/show/NCT00701961
59	Arterolane-PQP Versus DHA-PQP in Uncomplicated Falciparum Malaria in Eastern Myanmar	Withdrawn	No Results Available	Uncomplicated Falciparum Malaria|Artemisinin-resistant	Drug: Arterolane maleate-piperaquine phosphate (Synriam)|Drug: Dihydroartemisinin-piperaquine phosphate (Duocotexin)		https://ClinicalTrials.gov/show/NCT02461186
60	Pyronaridine and Artesunate (3:1) in Children With Acute Uncomplicated Plasmodium Falciparum Malaria	Completed	No Results Available	Uncomplicated Plasmodium Falciparum Malaria	Drug: Pyronaridine-Artesunate	Medical Research Unit, Albert Schweitzer Hospital, Lambaréné, Gabon	https://ClinicalTrials.gov/show/NCT00331136
61	Food Interaction Study on the Pharmacokinetics of Eurartesim™ (DHA and PQP)in Healthy Male Adult Volunteers	Completed	No Results Available	Malaria, Falciparum	Drug: Eurartesim	CMAX, a division of IDT Australia Limited, Adelaide, Australia	https://ClinicalTrials.gov/show/NCT01222962
62	A Pharmacokinetic (PK) Trial in Healthy Asian and Caucasian Volunteers Investigating the PK Profile of Eurartesim™	Completed	No Results Available	Malaria, Falciparum	Drug: Eurartesim	CMAX, a division of IDT Australia Limited, Adelaide, Australia|Nucleus Network Limited, Melbourne, Australia	https://ClinicalTrials.gov/show/NCT01222949
63	Artemether-lumefantrine (AL) Versus Artesunate + Amodiaquine (ASAQ) for the Treatment of Uncomplicated Falciparum Malaria in Burkina Faso	Completed	No Results Available	Uncomplicated P. Falciparum Malaria in Children	Drug: Artesunate-amodiaquine|Drug: Artemether-lumefantrine	Nanoro, Nanoro, Boulkiemdé, Burkina Faso|Nanoro, Nanoro, Boulkiemdé, Burkina Faso|IRSS-DRO/Centre Muraz, Bobo-Dioulasso, Bp 545, Burkina Faso|Tinto Halidou, Bobo-Dioulasso, Houet, Burkina Faso	https://ClinicalTrials.gov/show/NCT01017770
64	Controlled Human Malaria Infection Transmission Model - Phase A	Not yet recruiting	No Results Available	Malaria,Falciparum	Biological: PfSPZ Challenge|Drug: Sulfadoxine-Pyrimethamine|Drug: Piperaquine|Drug: Artemether lumefantrine|Drug: Primaquine	KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya	https://ClinicalTrials.gov/show/NCT04280692
65	Safety, Immunogenicity and ex Vivo Efficacy of Pfs25-IMX313/Matrix-M in Healthy Volunteers in Bagamoyo, Tanzania.	Not yet recruiting	No Results Available	Malaria,Falciparum	Biological: Pfs25-IMX313/Matrix-M	Ifakara Health Institute Clinical Trial Facility, Bagamoyo, Tanzania	https://ClinicalTrials.gov/show/NCT04271306
66	Safety, Tolerability, and Pharmacokinetics and Pharmacodynamics of TB31F	Recruiting	No Results Available	Malaria,Falciparum	Biological: TB31F	Radboud University Medical Center, Nijmegen, Gelderland, Netherlands	https://ClinicalTrials.gov/show/NCT04238689
67	Seasonal Malaria Chemoprevention With Dihydroartemisin Piperaquin vs. Sulfadoxine-pyrimethamin+Amodiaquin	Recruiting	No Results Available	Malaria,Falciparum	Drug: Sulfadoxine pyrimethamine + Amodiaquin|Drug: Dihydroartemisinin piperaquin	Ucrc - Usttb, Bamako, Select, Mali	https://ClinicalTrials.gov/show/NCT04149106
68	A Study to Determine if New Types of Malaria Vaccines Are Safe, Effective and Lead to Immunity in Kenyan Adults	Not yet recruiting	No Results Available	Malaria,Falciparum	Biological: R21/Matrix-M|Biological: ChAd63/MVA ME-TRAP|Biological: intradermal injection (ID) or direct venous injection (DVI) of PfSPZ Challenge		https://ClinicalTrials.gov/show/NCT03947190
