avg_score	original_tax_id	orig_organism	pref_name	chembl_id	journal	year	volume	issue	first_page	last_page	pubmed_id	doi	title	authors
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Gastroenterol Clin Biol	2004	28	8-9	720	759	15646539	10.1016/s0399-8320(04)95062-2	[Drug-induced liver injury; fourteenth updated edition of the bibliographic database of liver injuries and related drugs].	Biour M, Ben Salem C, Chazouillères O, Grangé JD, Serfaty L, Poupon R.
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Bioorg. Med. Chem.	2010	18	6	2225	2231	20185316	10.1016/j.bmc.2010.01.068	Multi-target spectral moment QSAR versus ANN for antiparasitic drugs against different parasite species.	Prado-Prado FJ, García-Mera X, González-Díaz H.
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Bioorg. Med. Chem.	2011	19	8	2615	2624	21458999	10.1016/j.bmc.2011.03.011	QSAR-based permeability model for drug-like compounds.	Gozalbes R, Jacewicz M, Annand R, Tsaioun K, Pineda-Lucena A.
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Toxicol Sci	2013	136	1	216	241	23956101	10.1093/toxsci/kft176	A multifactorial approach to hepatobiliary transporter assessment enables improved therapeutic compound development.	Morgan RE, van Staden CJ, Chen Y, Kalyanaraman N, Kalanzi J, Dunn RT, Afshari CA, Hamadeh HK.
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Bioorg. Med. Chem. Lett.	2015	25	7	1561	1567	25740159	10.1016/j.bmcl.2015.02.013	Thermodynamic equilibrium solubility measurements in simulated fluids by 96-well plate method in early drug discovery.	Bharate SS, Vishwakarma RA.
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	J. Med. Chem.	2015	58	16	6507	6515	26214366	10.1021/acs.jmedchem.5b00544	Enthalpic Forces Correlate with the Selectivity of Transthyretin-Stabilizing Ligands in Human Plasma.	Iakovleva I, Brännström K, Nilsson L, Gharibyan AL, Begum A, Anan I, Walfridsson M, Sauer-Eriksson AE, Olofsson A.
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Drug Discov Today	2016	21	4	648	653	26948801	10.1016/j.drudis.2016.02.015	DILIrank: the largest reference drug list ranked by the risk for developing drug-induced liver injury in humans.	Chen M, Suzuki A, Thakkar S, Yu K, Hu C, Tong W.
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Eur J Med Chem	2017	125		101	116	27657808	10.1016/j.ejmech.2016.09.021	Synthesis, characterization and molecular docking studies of substituted 4-coumarinylpyrano[2,3-c]pyrazole derivatives as potent antibacterial and anti-inflammatory agents.	Chougala BM, Samundeeswari S, Holiyachi M, Shastri LA, Dodamani S, Jalalpure S, Dixit SR, Joshi SD, Sunagar VA.
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645									British National Formulary (72nd edition)	
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645									DrugMatrix	
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645									DrugMatrix in vitro pharmacology data	Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645									PubChem BioAssay data set	
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645									USP Dictionary of USAN and International Names (2010 edition) and USAN registrations 2007-date	
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645									WHO Anatomical Therapeutic Chemical Classification	
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Br. J. Clin. Pharmacol.	1980	10		291S	298S	7002186	10.1111/j.1365-2125.1980.tb01812.x	Kinetics and metabolism of paracetamol and phenacetin.	Prescott LF.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1980	23	11	1153	1158	7452663	10.1021/jm00185a001	Studies on the mechanism of toxicity of acetaminophen. Synthesis and reactions of N-acetyl-2,6-dimethyl- and N-acetyl-3,5-dimethyl-p-benzoquinone imines.	Fernando CR, Calder IC, Ham KN.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1980	23	3	304	308	7365746	10.1021/jm00177a019	Mechanism of decomposition of N-hydroxyacetaminophen, a postulated toxic metabolite of acetaminophen.	Gemborys MW, Mudge GH, Gribble GW.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1981	24	8	988	993	7328601	10.1021/jm00140a014	N-hydroxyacetaminophen: a postulated toxic metabolite of acetaminophen.	Calder IC, Hart SJ, Healey K, Ham KN.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1982	25	5	489	491	7086831	10.1021/jm00347a001	Prodrugs of L-cysteine as liver-protective agents. 2(RS)-Methylthiazolidine-4(R)-carboxylic acid, a latent cysteine.	Nagasawa HT, Goon DJ, Zera RT, Yuzon DL.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1982	25	8	885	886	7120276	10.1021/jm00350a001	Synthesis, decomposition kinetics, and preliminary toxicological studies of pure N-acetyl-p-benzoquinone imine, a proposed toxic metabolite of acetaminophen.	Dahlin DC, Nelson SD.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1986	29	9	1737	1743	3746820	10.1021/jm00159a029	Comparative toxicities and analgesic activities of three monomethylated analogues of acetaminophen.	Harvison PJ, Forte AJ, Nelson SD.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1987	30	10	1891	1896	3656363	10.1021/jm00393a034	Prodrugs of L-cysteine as protective agents against acetaminophen-induced hepatotoxicity. 2-(Polyhydroxyalkyl)- and 2-(polyacetoxyalkyl)thiazolidine-4(R)-carboxylic acids.	Roberts JC, Nagasawa HT, Zera RT, Fricke RF, Goon DJ.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1987	30	2	434	437	3100804	10.1021/jm00385a031	Prostaglandin-H synthase inhibition by malonamides. Ring-opened analogues of phenylbutazone.	Vennerstrom JL, Holmes TJ.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	1994	37	6	860	867	8145237	10.1021/jm00032a021	Preferred orientations in the binding of 4'-hydroxyacetanilide (acetaminophen) to cytochrome P450 1A1 and 2B1 isoforms as determined by 13C- and 15N-NMR relaxation studies.	Myers TG, Thummel KE, Kalhorn TF, Nelson SD.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Mol. Pharmacol.	1999	55	1	847	854	10220563		Transport properties of nonsteroidal anti-inflammatory drugs by organic anion transporter 1 expressed in Xenopus laevis oocytes.	Apiwattanakul N, Sekine T, Chairoungdua A, Kanai Y, Nakajima N, Sophasan S, Endou H.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Nat. Prod.	1999	62	8	1145	1146	10479322	10.1021/np9804177	Antinociceptive activity of niga-ichigoside F1 from Rubus imperialis.	Niero R, Cechinel Filho V, Souza MM, Montanari JL, Yunes RA, Delle Monache F.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem. Lett.	2000	10	11	1155	1158	10866370	10.1016/s0960-894x(00)00172-4	Prediction of drug solubility from Monte Carlo simulations.	Jorgensen WL, Duffy EM.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Annual Review of Pharmacology and Toxicology	2000	40	1	581	616	10836148	10.1146/annurev.pharmtox.40.1.581	Human UDP-glucuronosyltransferases: metabolism, expression, and disease.	Tukey RH, Strassburg CP.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2000	43	13	2575	2585	10891117	10.1021/jm0000564	QSAR model for drug human oral bioavailability.	Yoshida F, Topliss JG.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2000	43	15	2922	2928	10956200	10.1021/jm0000822	ElogPoct: a tool for lipophilicity determination in drug discovery.	Lombardo F, Shalaeva MY, Tupper KA, Gao F, Abraham MH.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Chem. Res. Toxicol.	2001	14	1	1596	1603	11743742	10.1021/tx010125x	Quantitative distinctions of active site molecular recognition by P-glycoprotein and cytochrome P450 3A4.	Wang E, Lew K, Barecki M, Casciano CN, Clement RP, Johnson WW.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2001	44	15	2490	2497	11448232	10.1021/jm0100990	ElogD(oct): a tool for lipophilicity determination in drug discovery. 2. Basic and neutral compounds.	Lombardo F, Shalaeva MY, Tupper KA, Gao F.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2001	44	25	4370	4378	11728183	10.1021/jm010960b	Cheminformatic models to predict binding affinities to human serum albumin.	Colmenarejo G, Alvarez-Pedraglio A, Lavandera JL.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2002	45	13	2867	2876	12061889	10.1021/jm0200409	Prediction of volume of distribution values in humans for neutral and basic drugs using physicochemical measurements and plasma protein binding data.	Lombardo F, Obach RS, Shalaeva MY, Gao F.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2002	45	25	5514	5522	12459019	10.1021/jm010481c	Comparative molecular field analysis of substrates for an aryl sulfotransferase based on catalytic mechanism and protein homology modeling.	Sharma V, Duffel MW.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Int. J. Pharm.	2003	263	1	113	122	12954186	10.1016/s0378-5173(03)00372-7	Caco-2 permeability, P-glycoprotein transport ratios and brain penetration of heterocyclic drugs.	Faassen F, Vogel G, Spanings H, Vromans H.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Curr Drug Discov Technol	2004	1	4	243	254	16472241	10.2174/1570163043334794	Assessment of the health effects of chemicals in humans: II. Construction of an adverse effects database for QSAR modeling.	Matthews EJ, Kruhlak NL, Weaver JL, Benz RD, Contrera JF.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Gastroenterol Clin Biol	2004	28	8-9	720	759	15646539	10.1016/s0399-8320(04)95062-2	[Drug-induced liver injury; fourteenth updated edition of the bibliographic database of liver injuries and related drugs].	Biour M, Ben Salem C, Chazouillères O, Grangé JD, Serfaty L, Poupon R.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2004	47	5	1242	1250	14971904	10.1021/jm030408h	Prediction of human volume of distribution values for neutral and basic drugs. 2. Extended data set and leave-class-out statistics.	Lombardo F, Obach RS, Shalaeva MY, Gao F.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Pharmacology and Therapeutics	2005	106	1	97	132	15781124	10.1016/j.pharmthera.2004.10.013	UDP-glucuronosyltransferases and clinical drug-drug interactions.	Kiang TK, Ensom MH, Chang TK.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Med Chem Res	2005	14	1	26	39		10.1007/s00044-004-0123-6	ANTIPYRETIC, ANTINOCICEPTIVE AND ANTI-INFLAMMATORY ACTIVITIES OF CERTAIN -OXOBUTANOIC ACID DERIVATIVES	Abouzid KA, Youssef KM, Ahmed AAE, Hussain Al-Zuhair H
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem. Lett.	2005	15	23	5170	5175	16183274	10.1016/j.bmcl.2005.08.063	Nonsteroidal anti-inflammatory drugs and their analogues as inhibitors of aldo-keto reductase AKR1C3: new lead compounds for the development of anticancer agents.	Gobec S, Brozic P, Rizner TL.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2005	48	23	7234	7242	16279782	10.1021/jm050567w	Cellular apoptosis and cytotoxicity of phenolic compounds: a quantitative structure-activity relationship study.	Selassie CD, Kapur S, Verma RP, Rosario M.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem. Lett.	2006	16	13	3590	3594	16616488	10.1016/j.bmcl.2006.03.061	Synthesis, hydrolyses and dermal delivery of N-alkyl-N-alkyloxycarbonylaminomethyl (NANAOCAM) derivatives of phenol, imide and thiol containing drugs.	Majumdar S, Sloan KB.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem. Lett.	2006	16	8	2219	2223	16455248	10.1016/j.bmcl.2006.01.033	The geminal dimethyl analogue of Flurbiprofen as a novel Abeta42 inhibitor and potential Alzheimer's disease modifying agent.	Stock N, Munoz B, Wrigley JD, Shearman MS, Beher D, Peachey J, Williamson TL, Bain G, Chen W, Jiang X, St-Jacques R, Prasit P.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2007	15	11	3756	3767	17418579	10.1016/j.bmc.2007.03.040	QSAR study on permeability of hydrophobic compounds with artificial membranes.	Fujikawa M, Nakao K, Shimizu R, Akamatsu M.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2007	15	22	6943	6955	17827020	10.1016/j.bmc.2007.07.050	Transdermal penetration behaviour of drugs: CART-clustering, QSPR and selection of model compounds.	Baert B, Deconinck E, Van Gele M, Slodicka M, Stoppie P, Bodé S, Slegers G, Vander Heyden Y, Lambert J, Beetens J, De Spiegeleer B.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2007	15	24	7738	7745	17870541	10.1016/j.bmc.2007.08.060	Hologram QSAR model for the prediction of human oral bioavailability.	Moda TL, Montanari CA, Andricopulo AD.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2007	15	5	2206	2215	16919959	10.1016/j.bmc.2006.07.054	Synthesis and in vivo evaluation of non-hepatotoxic acetaminophen analogs.	Vaccarino AL, Paul D, Mukherjee PK, Rodríguez de Turco EB, Marcheselli VL, Xu L, Trudell ML, Minguez JM, Matía MP, Sunkel C, Alvarez-Builla J, Bazan NG.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem. Lett.	2007	17	20	5709	5714	17768049	10.1016/j.bmcl.2007.07.058	Synthesis and anti-inflammatory activity of 3-(4'-geranyloxy-3'-methoxyphenyl)-2-trans propenoic acid and its ester derivatives.	Epifano F, Genovese S, Sosa S, Tubaro A, Curini M.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Biol. Pharm. Bull.	2007	30	1	157	161	17202677	10.1248/bpb.30.157	Pharmacokinetics/pharmacodynamics of acetaminophen analgesia in Japanese patients with chronic pain.	Shinoda S, Aoyama T, Aoyama Y, Tomioka S, Matsumoto Y, Ohe Y.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J Chem Inf Model	2007	47	1	1196	1205	17428028	10.1021/ci6004542	Evaluation of a published in silico model and construction of a novel Bayesian model for predicting phospholipidosis inducing potential.	Pelletier DJ, Gehlhaar D, Tilloy-Ellul A, Johnson TO, Greene N.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2008	16	11	5881	5889	18482840	10.1016/j.bmc.2008.04.066	Towards the first inhibitors of trihydroxynaphthalene reductase from Curvularia lunata: synthesis of artificial substrate, homology modelling and initial screening.	Brunskole M, Stefane B, Zorko K, Anderluh M, Stojan J, Lanisnik Rizner T, Gobec S.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2008	16	15	7424	7428	18579385	10.1016/j.bmc.2008.06.013	Carbonic anhydrase inhibitors: inhibition of mammalian isoforms I-XIV with a series of substituted phenols including paracetamol and salicylic acid.	Innocenti A, Vullo D, Scozzafava A, Supuran CT.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2008	16	18	8526	8534	18722128	10.1016/j.bmc.2008.08.019	Synthesis of new 1-phenyl-3-{4-[(2E)-3-phenylprop-2-enoyl]phenyl}-thiourea and urea derivatives with anti-nociceptive activity.	dos Santos L, Lima LA, Cechinel-Filho V, Corrêa R, de Campos Buzzi F, Nunes RJ.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem. Lett.	2008	18	12	3593	3596	18501600	10.1016/j.bmcl.2008.04.077	Carbonic anhydrase inhibitors: Inhibition of the new membrane-associated isoform XV with phenols.	Innocenti A, Hilvo M, Scozzafava A, Parkkila S, Supuran CT.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Toxicol. Mech. Methods	2008	18	2	217	227	20020916	10.1080/15376510701857262	Development of a phospholipidosis database and predictive quantitative structure-activity relationship (QSAR) models.	Kruhlak NL, Choi SS, Contrera JF, Weaver JL, Willard JM, Hastings KL, Sancilio LF.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Drug Metab. Dispos.	2008	36	7	1385	1405	18426954	10.1124/dmd.108.020479	Trend analysis of a database of intravenous pharmacokinetic parameters in humans for 670 drug compounds.	Obach RS, Lombardo F, Waters NJ.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2008	51	14	4059	4067	18459759	10.1021/jm800197b	Microsomal prostaglandin E2 synthase-1 (mPGES-1): a novel anti-inflammatory therapeutic target.	Friesen RW, Mancini JA.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2008	51	16	5140	5142	18666772	10.1021/jm8005228	Determination of log D via automated microfluidic liquid-liquid extraction.	Alimuddin M, Grant D, Bulloch D, Lee N, Peacock M, Dahl R.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2008	51	19	5932	5942	18788725	10.1021/jm8003152	Structural requirements for drug inhibition of the liver specific human organic cation transport protein 1.	Ahlin G, Karlsson J, Pedersen JM, Gustavsson L, Larsson R, Matsson P, Norinder U, Bergström CA, Artursson P.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2008	51	21	6740	6751	18834112	10.1021/jm800656v	Quantitative structure-activity relationship and complex network approach to monoamine oxidase A and B inhibitors.	Santana L, González-Díaz H, Quezada E, Uriarte E, Yáñez M, Viña D, Orallo F.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2008	51	24	7800	7805	19053765	10.1021/jm800807k	New analgesics synthetically derived from the paracetamol metabolite N-(4-hydroxyphenyl)-(5Z,8Z,11Z,14Z)-icosatetra-5,8,11,14-enamide.	Sinning C, Watzer B, Coste O, Nüsing RM, Ott I, Ligresti A, Di Marzo V, Imming P.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2008	51	5	1260	1277	18260613	10.1021/jm7009292	Antimalarial dual drugs based on potent inhibitors of glutathione reductase from Plasmodium falciparum.	Friebolin W, Jannack B, Wenzel N, Furrer J, Oeser T, Sanchez CP, Lanzer M, Yardley V, Becker K, Davioud-Charvet E.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112		2008			161	304			Casarett and Doull's Toxicology The Basic Science of Poisons, 7th edition	
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2009	17	14	5059	5070	19527932	10.1016/j.bmc.2009.05.073	Synthesis, biological evaluation and docking studies of novel benzopyranone congeners for their expected activity as anti-inflammatory, analgesic and antipyretic agents.	Eissa AA, Farag NA, Soliman GA.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem. Lett.	2009	19	17	4963	4966	19646868	10.1016/j.bmcl.2009.07.075	Design, synthesis and analgesic properties of novel conformationally-restricted N-acylhydrazones (NAH).	Kümmerle AE, Vieira MM, Schmitt M, Miranda AL, Fraga CA, Bourguignon JJ, Barreiro EJ.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Eur. J. Med. Chem.	2009	44	11	4455	4460	19586686	10.1016/j.ejmech.2009.06.004	Prediction of volume of distribution values in human using immobilized artificial membrane partitioning coefficients, the fraction of compound ionized and plasma protein binding data.	Sui X, Sun J, Li H, Wang Y, Liu J, Liu X, Zhang W, Chen L, He Z.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Eur. J. Med. Chem.	2009	44	11	4596	4602	19628311	10.1016/j.ejmech.2009.06.029	Antinociceptive properties of caffeic acid derivatives in mice.	de Campos Buzzi F, Franzoi CL, Antonini G, Fracasso M, Cechinel Filho V, Yunes RA, Niero R.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Eur. J. Med. Chem.	2009	44	4	1600	1606	18768239	10.1016/j.ejmech.2008.07.027	First-principle, structure-based prediction of hepatic metabolic clearance values in human.	Li H, Sun J, Sui X, Liu J, Yan Z, Liu X, Sun Y, He Z.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Eur. J. Med. Chem.	2009	44	4	1682	1688	18986738	10.1016/j.ejmech.2008.09.020	Synthesis and pharmacological evaluation of a novel series of 5-(substituted)aryl-3-(3-coumarinyl)-1-phenyl-2-pyrazolines as novel anti-inflammatory and analgesic agents.	Khode S, Maddi V, Aragade P, Palkar M, Ronad PK, Mamledesai S, Thippeswamy AH, Satyanarayana D.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Eur. J. Med. Chem.	2009	44	5	2307	2312	18486995	10.1016/j.ejmech.2008.03.043	Synthesis, pharmacological screening, quantum chemical and in vitro permeability studies of N-Mannich bases of benzimidazoles through bovine cornea.	Jesudason EP, Sridhar SK, Malar EJ, Shanmugapandiyan P, Inayathullah M, Arul V, Selvaraj D, Jayakumar R.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Eur. J. Med. Chem.	2009	44	9	3612	3620	19327871	10.1016/j.ejmech.2009.02.026	Synthesis and pharmacological evaluation of N-phenyl-acetamide sulfonamides designed as novel non-hepatotoxic analgesic candidates.	Barbosa ML, Melo GM, da Silva YK, Lopes Rde O, de Souza ET, de Queiroz AC, Smaniotto S, Alexandre-Moreira MS, Barreiro EJ, Lima LM.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Eur. J. Med. Chem.	2009	44	9	3712	3717	19410338	10.1016/j.ejmech.2009.03.039	Determination of permeability and lipophilicity of pyrazolo-pyrimidine tyrosine kinase inhibitors and correlation with biological data.	Dreassi E, Zizzari AT, Falchi F, Schenone S, Santucci A, Maga G, Botta M.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	J. Med. Chem.	2009	52	15	4844	4852	19445515	10.1021/jm900403j	Physicochemical determinants of human renal clearance.	Varma MV, Feng B, Obach RS, Troutman MD, Chupka J, Miller HR, El-Kattan A.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Antimicrob. Agents Chemother.	2009	53	5	1898	1906	19223628	10.1128/aac.01293-08	Surfactants, aromatic and isoprenoid compounds, and fatty acid biosynthesis inhibitors suppress Staphylococcus aureus production of toxic shock syndrome toxin 1.	McNamara PJ, Syverson RE, Milligan-Myhre K, Frolova O, Schroeder S, Kidder J, Hoang T, Proctor RA.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Toxicol Sci	2010	118	2	485	500	20829430	10.1093/toxsci/kfq269	Interference with bile salt export pump function is a susceptibility factor for human liver injury in drug development.	Morgan RE, Trauner M, van Staden CJ, Lee PH, Ramachandran B, Eschenberg M, Afshari CA, Qualls CW, Lightfoot-Dunn R, Hamadeh HK.
2283.1500000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Bioorg. Med. Chem.	2010	18	6	2225	2231	20185316	10.1016/j.bmc.2010.01.068	Multi-target spectral moment QSAR versus ANN for antiparasitic drugs against different parasite species.	Prado-Prado FJ, García-Mera X, González-Díaz H.
