orf	target	blast_score	hmmer_score	expect	evalue
Pf3D7_01_v3-1-502456-502653	CHEMBL5413	24.6	10.5	1.8	0.31
Pf3D7_01_v3-1-504379-504627	CHEMBL3694	30.8	10.1	0.019	0.34
Pf3D7_01_v3-1-50572-51633	CHEMBL1163130	33.5	12.7	0.029	0.026
Pf3D7_01_v3-1-521785-522576	CHEMBL1795109	71.2	275.0	0.00000000000001	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000021
Pf3D7_01_v3-1-521785-522576	CHEMBL2111411	96.3	256.2	0.00000000000000000000002	0.00000000000000000000000000000000000000000000000000000000000000000000000000011
Pf3D7_01_v3-1-542332-542484	CHEMBL1255162	22.3	6.4	5.7	7
Pf3D7_01_v3-1-54277-54549	CHEMBL6046	28.1	15.4	0.20	0.008
Pf3D7_01_v3-1-54277-54549	CHEMBL3776	26.6	14.7	0.79	0.013
Pf3D7_01_v3-1-553042-553794	CHEMBL1641359	32.7	143.3	0.052	0.0000000000000000000000000000000000000000028
Pf3D7_01_v3-1-553042-553794	CHEMBL2111399	27.3	143.1	2.9	0.0000000000000000000000000000000000000000032
Pf3D7_01_v3-1-553042-553794	CHEMBL1075164	27.3	142.8	3.0	0.000000000000000000000000000000000000000004
Pf3D7_01_v3-1-555103-555363	CHEMBL4006	27.7	11.8	0.26	0.095
Pf3D7_01_v3-1-74560-74724	CHEMBL2765	25.8	11.9	0.49	0.12
Pf3D7_01_v3-1-78727-78936	CHEMBL1907598	28.9	13.3	0.063	0.03
Pf3D7_01_v3-1-78727-78936	CHEMBL4513	30.4	12.2	0.017	0.065
Pf3D7_01_v3-1-88519-88695	CHEMBL2111421	32.0	15.3	0.004	0.0074
Pf3D7_01_v3-1-88519-88695	CHEMBL4039	32.0	14.6	0.004	0.013
Pf3D7_01_v3-1-88519-88695	CHEMBL2007625	31.2	14.1	0.006	0.018
Pf3D7_01_v3-1-99220-102279	CHEMBL1795109	41.2	101.7	0.0008	0.0000000000000000000000000000083
Pf3D7_01_v3-1-99220-102279	CHEMBL2111411	52.0	98.7	0.0000003	0.000000000000000000000000000067
Pf3D7_01_v3-2-122450-122611	CHEMBL5340	25.4	9.2	0.59	0.93
Pf3D7_01_v3-2-126875-127081	CHEMBL5581	25.8	15.7	0.71	0.0066
Pf3D7_01_v3-2-14084-14278	CHEMBL5460	27.7	14.8	0.14	0.012
Pf3D7_01_v3-2-152528-152704	CHEMBL4861	28.9	7.9	0.045	2
Pf3D7_01_v3-2-152528-152704	CHEMBL1782	28.1	7.9	0.064	2.1
Pf3D7_01_v3-2-16841-17056	CHEMBL5460	26.6	13.2	0.36	0.038
Pf3D7_01_v3-2-17366-17539	CHEMBL5270	26.6	11.0	0.22	0.17
Pf3D7_01_v3-2-197456-200662	CHEMBL2096906	62.0	147.6	0.0000000005	0.00000000000000000000000000000000000000000013
Pf3D7_01_v3-2-197456-200662	CHEMBL1075193	39.3	139.4	0.005	0.000000000000000000000000000000000000000037
Pf3D7_01_v3-2-197456-200662	CHEMBL2096905	72.0	135.4	0.0000000000005	0.00000000000000000000000000000000000000061
Pf3D7_01_v3-2-197456-200662	CHEMBL2096905	53.5	135.4	0.0000002	0.00000000000000000000000000000000000000061
Pf3D7_01_v3-2-197456-200662	CHEMBL2096905	46.6	135.4	0.00003	0.00000000000000000000000000000000000000061
Pf3D7_01_v3-2-197456-200662	CHEMBL2096905	57.8	135.4	0.000000008	0.00000000000000000000000000000000000000061
Pf3D7_01_v3-2-197456-200662	CHEMBL1795090	44.7	128.5	0.0001	0.000000000000000000000000000000000000071
Pf3D7_01_v3-2-197456-200662	CHEMBL2363074	45.1	115.5	0.00009	0.00000000000000000000000000000000064
Pf3D7_01_v3-2-197456-200662	CHEMBL3038500	38.9	114.4	0.004	0.0000000000000000000000000000000013
Pf3D7_01_v3-2-197456-200662	CHEMBL2363965	42.0	96.9	0.0007	0.00000000000000000000000000025
Pf3D7_01_v3-2-202250-202531	CHEMBL3629	26.2	11.6	1.1	0.18
Pf3D7_01_v3-2-22877-23041	CHEMBL5460	23.9	8.5	2.2	1.2
Pf3D7_01_v3-2-289028-289255	CHEMBL5750	26.2	9.4	0.76	0.75
Pf3D7_01_v3-2-289028-289255	CHEMBL4158	23.5	6.0	5.5	8.6
Pf3D7_01_v3-2-293459-293770	CHEMBL2409	30.8	44.9	0.030	0.0000000000054
Pf3D7_01_v3-2-293459-293770	CHEMBL2791	30.8	44.9	0.030	0.0000000000054
Pf3D7_01_v3-2-293459-293770	CHEMBL1163108	29.6	43.8	0.059	0.000000000012
Pf3D7_01_v3-2-293459-293770	CHEMBL2148	25.8	41.8	1.6	0.000000000052
Pf3D7_01_v3-2-29501-34954	CHEMBL2046264	36.6	7.0	0.052	0.24
Pf3D7_01_v3-2-314597-319402	CHEMBL2364022	60.5	200.7	0.0000000007	0.000000000000000000000000000000000000000000000000000000000011
Pf3D7_01_v3-2-314597-319402	CHEMBL1075292	73.9	141.4	0.0000000000002	0.0000000000000000000000000000000000000000088
Pf3D7_01_v3-2-314597-319402	CHEMBL1293295	74.7	119.4	0.00000000000006	0.000000000000000000000000000000000037
Pf3D7_01_v3-2-314597-319402	CHEMBL3198	70.5	117.4	0.000000000002	0.00000000000000000000000000000000016
Pf3D7_01_v3-2-314597-319402	CHEMBL5503	73.6	115.7	0.0000000000001	0.00000000000000000000000000000000049
Pf3D7_01_v3-2-314597-319402	CHEMBL3714130	72.0	109.2	0.0000000000007	0.000000000000000000000000000000044
Pf3D7_01_v3-2-314597-319402	CHEMBL1293256	68.6	104.9	0.000000000007	0.00000000000000000000000000000089
Pf3D7_01_v3-2-314597-319402	CHEMBL2111324	61.2	95.3	0.0000000004	0.00000000000000000000000000073
Pf3D7_01_v3-2-314597-319402	CHEMBL1667697	62.8	85.3	0.0000000002	0.00000000000000000000000073
Pf3D7_01_v3-2-314597-319402	CHEMBL3753	63.9	82.3	0.0000000002	0.0000000000000000000000059
Pf3D7_01_v3-2-346973-347161	CHEMBL5750	23.1	6.8	4.6	4.4
Pf3D7_01_v3-2-355646-356050	CHEMBL1741176	28.1	12.8	0.56	0.04
Pf3D7_01_v3-2-372851-373147	CHEMBL5117	25.0	8.2	3.0	1.2
Pf3D7_01_v3-2-380279-380449	CHEMBL1909484	26.9	12.9	0.16	0.075
Pf3D7_01_v3-2-394619-394840	CHEMBL1907608	33.5	17.3	0.001	0.0025
Pf3D7_01_v3-2-394619-394840	CHEMBL255	32.7	15.8	0.003	0.0073
Pf3D7_01_v3-2-394619-394840	CHEMBL292	32.7	15.8	0.003	0.0074
Pf3D7_01_v3-2-394619-394840	CHEMBL1971	32.0	14.9	0.006	0.014
Pf3D7_01_v3-2-403805-403963	CHEMBL4892	28.5	14.8	0.043	0.013
Pf3D7_01_v3-2-403805-403963	CHEMBL2363965	27.3	13.9	0.12	0.023
Pf3D7_01_v3-2-403805-403963	CHEMBL2611	27.3	13.9	0.12	0.023
Pf3D7_01_v3-2-403805-403963	CHEMBL4361	26.9	13.9	0.13	0.023
Pf3D7_01_v3-2-403805-403963	CHEMBL5553	26.2	12.0	0.26	0.095
Pf3D7_01_v3-2-410450-410986	CHEMBL1932908	68.9	158.6	0.00000000000001	0.000000000000000000000000000000000000000000000044
Pf3D7_01_v3-2-410450-410986	CHEMBL3089	70.9	153.0	0.000000000000003	0.0000000000000000000000000000000000000000000023
Pf3D7_01_v3-2-410450-410986	CHEMBL2900	71.2	146.1	0.000000000000002	0.0000000000000000000000000000000000000000003
Pf3D7_01_v3-2-410450-410986	CHEMBL2040	57.8	131.4	0.0000000001	0.0000000000000000000000000000000000000099
Pf3D7_01_v3-2-410450-410986	CHEMBL2111395	44.3	109.6	0.000005	0.00000000000000000000000000000005
Pf3D7_01_v3-2-410450-410986	CHEMBL1795200	43.1	108.9	0.00001	0.000000000000000000000000000000083
Pf3D7_01_v3-2-424628-424882	CHEMBL5456	32.3	14.6	0.006	0.02
Pf3D7_01_v3-2-444590-444796	CHEMBL6173	27.7	7.8	0.16	2.4
Pf3D7_01_v3-2-444590-444796	CHEMBL4808	27.7	7.8	0.16	2.5
Pf3D7_01_v3-2-447053-447229	CHEMBL5534	29.3	13.4	0.028	0.038
Pf3D7_01_v3-2-447053-447229	CHEMBL1293296	30.0	13.3	0.017	0.042
Pf3D7_01_v3-2-447053-447229	CHEMBL5331	30.0	13.3	0.016	0.042
Pf3D7_01_v3-2-447053-447229	CHEMBL1255162	27.3	10.7	0.16	0.28
Pf3D7_01_v3-2-447053-447229	CHEMBL5777	27.7	10.4	0.12	0.34
Pf3D7_01_v3-2-447053-447229	CHEMBL5186	27.3	10.3	0.16	0.38
Pf3D7_01_v3-2-447053-447229	CHEMBL5725	27.3	10.2	0.16	0.4
Pf3D7_01_v3-2-447053-447229	CHEMBL3658	27.7	9.4	0.11	0.71
Pf3D7_01_v3-2-447053-447229	CHEMBL3038509	26.9	8.5	0.19	1.4
Pf3D7_01_v3-2-455366-455563	CHEMBL2362996	29.3	14.1	0.038	0.027
Pf3D7_01_v3-2-464723-470191	CHEMBL2029195	104	1069.3	0.0000000000000000000002	0
Pf3D7_01_v3-2-464723-470191	CHEMBL2213	111	1065.6	0.0000000000000000000000009	0
Pf3D7_01_v3-2-464723-470191	CHEMBL1838	113	1058.0	0.0000000000000000000000002	0
Pf3D7_01_v3-2-464723-470191	CHEMBL2021757	112	1057.8	0.0000000000000000000000006	0
Pf3D7_01_v3-2-464723-470191	CHEMBL2858	112	1057.3	0.0000000000000000000000004	0
Pf3D7_01_v3-2-464723-470191	CHEMBL3790	111	1054.7	0.0000000000000000000000008	0
Pf3D7_01_v3-2-464723-470191	CHEMBL2029197	103	1005.1	0.0000000000000000000002	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024
Pf3D7_01_v3-2-464723-470191	CHEMBL2029196	105	1000.5	0.00000000000000000000006	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000059
Pf3D7_01_v3-2-464723-470191	CHEMBL2093865	114	868.7	0.0000000000000000000000001	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032
Pf3D7_01_v3-2-464723-470191	CHEMBL2034810	109	808.6	0.000000000000000000000003	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044
Pf3D7_01_v3-2-521396-521806	CHEMBL2111411	69.7	120.6	0.000000000000002	0.000000000000000000000000000000000017
Pf3D7_01_v3-2-521396-521806	CHEMBL1795109	60.5	108.2	0.000000000004	0.00000000000000000000000000000011
Pf3D7_01_v3-2-542174-542356	CHEMBL2472	25.8	8.0	0.59	2
Pf3D7_01_v3-2-542174-542356	CHEMBL1075150	25.4	8.0	0.73	2
Pf3D7_01_v3-2-542174-542356	CHEMBL2028	26.2	7.9	0.39	2.1
Pf3D7_01_v3-2-575180-575362	CHEMBL5458	29.6	7.1	0.022	5.4
Pf3D7_01_v3-2-579071-583786	CHEMBL2364022	33.1	9.8	0.51	0.035
Pf3D7_01_v3-2-60023-61000	CHEMBL3823	26.9	11.6	7.2	0.053
Pf3D7_01_v3-2-606434-606841	CHEMBL1075156	25.4	6.0	5.2	4.9
Pf3D7_01_v3-2-606434-606841	CHEMBL3830	25.0	6.0	5.8	4.9
Pf3D7_01_v3-2-65711-65902	CHEMBL1772931	22.7	9.8	6.1	0.43
Pf3D7_01_v3-2-84767-84982	CHEMBL4502	31.2	10.9	0.010	0.26
Pf3D7_01_v3-2-9293-9559	CHEMBL1163122	31.6	12.4	0.013	0.058
Pf3D7_01_v3-2-9293-9559	CHEMBL2363020	24.3	8.4	4.3	1.1
Pf3D7_01_v3-3-134877-135110	CHEMBL5965	27.3	15.0	0.25	0.012
Pf3D7_01_v3-3-134877-135110	CHEMBL3137286	28.1	14.7	0.14	0.015
Pf3D7_01_v3-3-134877-135110	CHEMBL2742	27.3	13.4	0.28	0.039
Pf3D7_01_v3-3-134877-135110	CHEMBL2938	28.1	12.9	0.13	0.054
Pf3D7_01_v3-3-148695-149201	CHEMBL5277	28.1	14.3	0.48	0.011
Pf3D7_01_v3-3-151758-152012	CHEMBL3671	31.2	16.0	0.013	0.007
Pf3D7_01_v3-3-151758-152012	CHEMBL1681631	30.4	15.3	0.027	0.012
Pf3D7_01_v3-3-151758-152012	CHEMBL2363074	30.0	14.9	0.035	0.016
Pf3D7_01_v3-3-160701-160886	CHEMBL6142	25.8	13.1	0.59	0.054
Pf3D7_01_v3-3-160701-160886	CHEMBL2539	24.6	7.6	1.3	3
Pf3D7_01_v3-3-165924-166226	CHEMBL2552	39.7	93.4	0.00003	0.0000000000000000000000000031
Pf3D7_01_v3-3-165924-166226	CHEMBL2364103	29.3	56.3	0.11	0.0000000000000012
Pf3D7_01_v3-3-165924-166226	CHEMBL6068	26.6	45.7	1.0	0.0000000000023
Pf3D7_01_v3-3-165924-166226	CHEMBL3491	25.0	36.0	3.7	0.0000000024
Pf3D7_01_v3-3-171486-171686	CHEMBL3038516	29.3	14.6	0.043	0.012
Pf3D7_01_v3-3-177423-177599	CHEMBL5795	25.0	11.4	0.86	0.17
Pf3D7_01_v3-3-200694-201227	CHEMBL1926495	29.6	78.6	0.31	0.00000000000000000000018
Pf3D7_01_v3-3-200694-201227	CHEMBL1795090	30.4	63.0	0.18	0.000000000000000011
Pf3D7_01_v3-3-200694-201227	CHEMBL2096905	29.6	61.8	0.31	0.000000000000000025
Pf3D7_01_v3-3-200694-201227	CHEMBL2096905	35.0	61.8	0.006	0.000000000000000025
Pf3D7_01_v3-3-200694-201227	CHEMBL2096905	37.4	61.8	0.001	0.000000000000000025
Pf3D7_01_v3-3-200694-201227	CHEMBL3038503	29.6	52.9	0.38	0.000000000000013
Pf3D7_01_v3-3-200694-201227	CHEMBL3038503	33.9	52.9	0.015	0.000000000000013
Pf3D7_01_v3-3-200694-201227	CHEMBL1075193	28.1	51.3	1.0	0.000000000000042
Pf3D7_01_v3-3-200694-201227	CHEMBL2363074	36.6	49.6	0.002	0.00000000000014
Pf3D7_01_v3-3-200694-201227	CHEMBL2343	28.5	46.7	0.80	0.0000000000011
Pf3D7_01_v3-3-202524-204140	CHEMBL2111445	132	446.7	0.00000000000000000000000000000000002	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049
Pf3D7_01_v3-3-210867-213002	CHEMBL3241	35.0	331.4	0.054	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004
Pf3D7_01_v3-3-210867-213002	CHEMBL2111427	33.9	15.1	0.098	0.0019
Pf3D7_01_v3-3-234075-234278	CHEMBL3185	23.9	12.4	3.5	0.069
Pf3D7_01_v3-3-234075-234278	CHEMBL3650	23.9	12.0	3.7	0.093
Pf3D7_01_v3-3-238203-238382	CHEMBL2364103	23.5	11.0	3.2	0.27
Pf3D7_01_v3-3-253569-254927	CHEMBL2095203	67.0	230.8	0.000000000004	0.000000000000000000000000000000000000000000000000000000000000000000011
Pf3D7_01_v3-3-258576-258854	CHEMBL6021	26.2	13.3	0.95	0.033
Pf3D7_01_v3-3-261888-262097	CHEMBL1907607	25.4	57.7	1.0	0.0000000000000005
Pf3D7_01_v3-3-261888-262097	CHEMBL1075218	24.6	56.2	1.7	0.0000000000000015
Pf3D7_01_v3-3-261888-262097	CHEMBL5424	24.3	47.4	2.9	0.00000000000081
Pf3D7_01_v3-3-287160-287384	CHEMBL1250370	30.0	15.4	0.023	0.01
Pf3D7_01_v3-3-287160-287384	CHEMBL3464	28.9	14.2	0.070	0.023
Pf3D7_01_v3-3-287160-287384	CHEMBL2364103	26.9	14.2	0.29	0.023
Pf3D7_01_v3-3-287160-287384	CHEMBL2364103	28.9	14.2	0.070	0.023
Pf3D7_01_v3-3-287160-287384	CHEMBL3045	26.9	12.8	0.30	0.064
Pf3D7_01_v3-3-294816-294965	CHEMBL2409	31.6	128.1	0.003	0.000000000000000000000000000000000000038
Pf3D7_01_v3-3-294816-294965	CHEMBL2791	31.6	128.1	0.003	0.000000000000000000000000000000000000038
Pf3D7_01_v3-3-294816-294965	CHEMBL1163108	33.9	121.6	0.0004	0.000000000000000000000000000000000004
Pf3D7_01_v3-3-294816-294965	CHEMBL279	35.0	98.8	0.0002	0.000000000000000000000000000055
Pf3D7_01_v3-3-294816-294965	CHEMBL333	30.0	81.5	0.012	0.000000000000000000000014
Pf3D7_01_v3-3-294816-294965	CHEMBL6051	34.7	55.6	0.0002	0.0000000000000017
Pf3D7_01_v3-3-294816-294965	CHEMBL4621	32.0	53.3	0.002	0.0000000000000088
Pf3D7_01_v3-3-294816-294965	CHEMBL4035	28.5	40.6	0.040	0.000000000082
Pf3D7_01_v3-3-303474-303647	CHEMBL2096907	35.0	147.3	0.0002	0.000000000000000000000000000000000000000000029
Pf3D7_01_v3-3-303765-303935	CHEMBL5283	23.5	11.3	2.7	0.25
Pf3D7_01_v3-3-309339-309548	CHEMBL3137290	29.6	10.0	0.028	0.39
Pf3D7_01_v3-3-310878-311063	CHEMBL6078	27.3	12.3	0.18	0.071
Pf3D7_01_v3-3-310878-311063	CHEMBL5588	26.6	11.8	0.30	0.1
Pf3D7_01_v3-3-310878-311063	CHEMBL2058	29.3	11.4	0.036	0.14
Pf3D7_01_v3-3-310878-311063	CHEMBL3778	26.2	11.0	0.40	0.18
Pf3D7_01_v3-3-322356-326069	CHEMBL2364103	166	561.6	0.0000000000000000000000000000000000000000006	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013
Pf3D7_01_v3-3-333759-334067	CHEMBL5683	25.4	12.5	2.4	0.054
Pf3D7_01_v3-3-353793-354116	CHEMBL1777664	25.4	13.8	3.5	0.018
Pf3D7_01_v3-3-360387-360620	CHEMBL1949491	23.9	13.8	4.1	0.024
Pf3D7_01_v3-3-362832-362981	CHEMBL2093865	25.8	16.0	0.35	0.0045
Pf3D7_01_v3-3-362832-362981	CHEMBL5982	26.2	15.1	0.26	0.009
Pf3D7_01_v3-3-362832-362981	CHEMBL3038461	25.8	14.2	0.33	0.017
Pf3D7_01_v3-3-362832-362981	CHEMBL5653	24.3	13.0	1.1	0.042
Pf3D7_01_v3-3-364389-364541	CHEMBL5340	25.4	9.3	0.48	0.79
Pf3D7_01_v3-3-365574-365837	CHEMBL4965	28.5	17.0	0.15	0.0019
Pf3D7_01_v3-3-365574-365837	CHEMBL221	27.3	12.8	0.36	0.038
Pf3D7_01_v3-3-365574-365837	CHEMBL1075078	27.7	12.4	0.33	0.05
Pf3D7_01_v3-3-365574-365837	CHEMBL6061	25.8	12.4	1.4	0.051
Pf3D7_01_v3-3-376020-376172	CHEMBL1075158	24.3	12.3	1.2	0.078
Pf3D7_01_v3-3-377910-378092	CHEMBL2363965	26.6	17.0	0.24	0.0031
Pf3D7_01_v3-3-377910-378092	CHEMBL1916	25.8	16.5	0.57	0.0044
Pf3D7_01_v3-3-377910-378092	CHEMBL2725	25.4	15.9	0.64	0.0066
Pf3D7_01_v3-3-380673-382421	CHEMBL1833	129	353.1	0.000000000000000000000000000000002	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000089
Pf3D7_01_v3-3-380673-382421	CHEMBL4596	127	348.7	0.000000000000000000000000000000009	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019
Pf3D7_01_v3-3-380673-382421	CHEMBL3788	124	346.9	0.0000000000000000000000000000001	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000064
Pf3D7_01_v3-3-380673-382421	CHEMBL5629	118	320.1	0.000000000000000000000000000008	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000083
Pf3D7_01_v3-3-380673-382421	CHEMBL4893	52.8	245.1	0.0000001	0.00000000000000000000000000000000000000000000000000000000000000000000000044
Pf3D7_01_v3-3-380673-382421	CHEMBL1764933	50.4	242.9	0.0000006	0.000000000000000000000000000000000000000000000000000000000000000000000002
Pf3D7_01_v3-3-380673-382421	CHEMBL2364022	30.4	40.9	1.3	0.00000000003
Pf3D7_01_v3-3-384627-384893	CHEMBL3038455	25.4	13.4	1.9	0.033
Pf3D7_01_v3-3-386433-386582	CHEMBL2364103	25.0	13.5	0.73	0.032
Pf3D7_01_v3-3-390570-390800	CHEMBL2363021	26.9	14.4	0.32	0.02
Pf3D7_01_v3-3-392580-393032	CHEMBL4860	86.7	201.2	0.0000000000000000000002	0.0000000000000000000000000000000000000000000000000000000000028
Pf3D7_01_v3-3-394626-394793	CHEMBL1945	29.6	15.2	0.018	0.0087
Pf3D7_01_v3-3-394626-394793	CHEMBL2655	26.2	12.0	0.37	0.092
Pf3D7_01_v3-3-396408-403415	CHEMBL2111368	40.0	147.2	0.007	0.00000000000000000000000000000000000000000012
Pf3D7_01_v3-3-396408-403415	CHEMBL5173	41.6	128.3	0.002	0.000000000000000000000000000000000000059
Pf3D7_01_v3-3-396408-403415	CHEMBL2363135	38.9	115.0	0.018	0.0000000000000000000000000000000006
Pf3D7_01_v3-3-396408-403415	CHEMBL2363135	40.0	115.0	0.006	0.0000000000000000000000000000000006
Pf3D7_01_v3-3-396408-403415	CHEMBL2363135	43.1	115.0	0.0008	0.0000000000000000000000000000000006
Pf3D7_01_v3-3-396408-403415	CHEMBL2363135	45.1	115.0	0.0002	0.0000000000000000000000000000000006
